,id,home,away,exhibition,season,variable,change
16860,1260,ADANASPOR A.Ş.,ATİKER KONYASPOR,ADANASPOR A.Ş. - ATİKER KONYASPOR,2016/17,a_out2,JENS JONSSON 90+3.dk
22710,1260,ADANASPOR A.Ş.,ATİKER KONYASPOR,ADANASPOR A.Ş. - ATİKER KONYASPOR,2016/17,h_in0,REYNALDO DOS SANTOS SILVA 79
24660,1260,ADANASPOR A.Ş.,ATİKER KONYASPOR,ADANASPOR A.Ş. - ATİKER KONYASPOR,2016/17,h_in1,AHMET DERELİ 61.dk
1260,1260,ADANASPOR A.Ş.,ATİKER KONYASPOR,ADANASPOR A.Ş. - ATİKER KONYASPOR,2016/17,h_out0,CEM ÖZDEMİR 79
3210,1260,ADANASPOR A.Ş.,ATİKER KONYASPOR,ADANASPOR A.Ş. - ATİKER KONYASPOR,2016/17,h_out1,VINICIUS SANTOS SILVA 61
5160,1260,ADANASPOR A.Ş.,ATİKER KONYASPOR,ADANASPOR A.Ş. - ATİKER KONYASPOR,2016/17,h_out2,
32516,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,2016/17,a_in0,GÖKAY IRAVUL 56
34466,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,2016/17,a_in1,SEFA YILMAZ 74.dk
13016,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,2016/17,a_out0,TAHA YALÇINER 56
14966,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,2016/17,a_out1,DENİZ VURAL 74.dk
22766,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,2016/17,h_in0,RENAN RODRIGUES DA SILVA 76
24716,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,2016/17,h_in1,CANBERK DİLAVER 59
26666,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,2016/17,h_in2,EDGAR BRUNO DA SILVA 90.dk
1316,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,2016/17,h_out0,CEM ÖZDEMİR 76
3266,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,2016/17,h_out1,OUSMANE VIERA DIARRASSOUBA 59
5216,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,2016/17,h_out2,RONEI GLEISON RODRIGUES DOS REIS 90
7166,1316,ADANASPOR A.Ş.,AYTEMİZ ALANYASPOR,ADANASPOR A.Ş. - AYTEMİZ ALANYASPOR,2016/17,h_out3,
32453,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,2016/17,a_in0,GÖKHAN İNLER 63
34403,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,2016/17,a_in1,KERİM FREİ 78
36353,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,2016/17,a_in2,ÖMER HASAN ŞİŞMANOĞLU 88.dk
12953,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,2016/17,a_out0,TOLGAY ALİ ARSLAN 63
14903,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,2016/17,a_out1,RICARDO ANDRADE QUARESMA BERNARDO 78
16853,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,2016/17,a_out2,VINCENT ABOUBAKAR 88.dk
22703,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,2016/17,h_in0,EMRE UĞUR URUÇ 59
24653,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,2016/17,h_in1,EDGAR BRUNO DA SILVA 59
26603,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,2016/17,h_in2,AHMET BAHÇIVAN 88.dk
1253,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,2016/17,h_out0,TEVFİK ALTINDAĞ 59
3203,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,2016/17,h_out1,MAGAYE SERIGNE FALILOU DIT NELSON GUEYE 59
5153,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,2016/17,h_out2,RENAN RODRIGUES DA SILVA 88
7103,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,2016/17,h_out3,
32285,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,2016/17,a_in0,ERDEM ÖZGENÇ 85
34235,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,2016/17,a_in1,SERCAN YILDIRIM 46
36185,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,2016/17,a_in2,SİNAN BAKIŞ 78.dk
12785,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,2016/17,a_out0,SERDAR KURTULUŞ 85
14735,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,2016/17,a_out1,CRISTOBAL ANDRES JORQUERA TORRES 46
16685,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,2016/17,a_out2,TOMAS NECID 78.dk
22535,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,2016/17,h_in0,MUSTAFA SAMİCAN KESKİN 50
24485,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,2016/17,h_in1,EDGAR BRUNO DA SILVA 66
